City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Soyo,AO,2021-07-20 17:02:17,-6.1349,12.3689,74.28,78,0,11.56
68,Mitsamiouli,KM,2021-07-20 17:02:17,-11.3847,43.2844,78.06,74,9,5.59
69,Atar,MR,2021-07-20 17:02:17,20.5169,-13.0499,112.62,5,4,11.88
70,Husavik,IS,2021-07-20 17:02:18,66.0449,-17.3389,58.33,80,28,5.1
71,Svobodnyy,RU,2021-07-20 17:02:18,51.4,128.1333,69.94,93,0,4.61
72,Vardo,NO,2021-07-20 17:02:18,70.3705,31.1107,48.4,61,75,13.8
73,Thompson,CA,2021-07-20 17:01:53,55.7435,-97.8558,75.45,34,1,4.41
74,Samarai,PG,2021-07-20 17:02:19,-10.6167,150.6667,78.06,83,98,14.23
75,Tiksi,RU,2021-07-20 17:02:19,71.6872,128.8694,42.19,84,98,7.94
76,Sioux Lookout,CA,2021-07-20 17:02:20,50.1001,-91.917,73.22,30,1,4.38
77,Esperance,AU,2021-07-20 17:02:20,-33.8667,121.9,53.44,92,100,18.86
78,Kochevo,RU,2021-07-20 17:02:21,59.5994,54.3125,63.72,98,100,3.85
79,Carson City,US,2021-07-20 17:02:21,39.1638,-119.7674,85.28,39,1,1.01
80,Harer,ET,2021-07-20 17:02:22,9.3094,42.1258,62.69,71,91,11.39
81,Qaanaaq,GL,2021-07-20 17:02:22,77.484,-69.3632,38.88,90,100,1.23
82,Nanortalik,GL,2021-07-20 17:02:22,60.1432,-45.2371,48.51,70,100,15.43
83,Castro,BR,2021-07-20 17:02:23,-24.7911,-50.0119,60.12,37,58,3.58
84,Talcahuano,CL,2021-07-20 17:00:46,-36.7167,-73.1167,57.9,75,100,6.2
85,San Jose,US,2021-07-20 16:57:56,37.3394,-121.895,79.77,45,40,4.61
86,General Cepeda,MX,2021-07-20 17:02:24,25.3833,-101.45,79.07,48,8,9.8
87,Caravelas,BR,2021-07-20 17:02:24,-17.7125,-39.2481,72.19,67,100,15.05
88,New Norfolk,AU,2021-07-20 17:02:24,-42.7826,147.0587,42.58,78,66,5.01
89,Lagoa,PT,2021-07-20 17:02:25,39.05,-27.9833,68.67,85,96,22.35
90,Husum,DE,2021-07-20 17:02:25,54.4858,9.0524,68.14,73,80,11.01
91,Hofn,IS,2021-07-20 17:02:25,64.2539,-15.2082,54.19,89,100,8.23
92,Ilulissat,GL,2021-07-20 17:02:26,69.2167,-51.1,44.62,76,75,4.61
93,Fortuna,US,2021-07-20 17:02:26,40.5982,-124.1573,56.32,92,90,5.75
94,Bluff,NZ,2021-07-20 17:02:27,-46.6,168.3333,42.8,81,89,12.73
95,Torbay,CA,2021-07-20 17:02:27,47.6666,-52.7314,76.87,90,75,13.8
96,Pangai,TO,2021-07-20 17:02:28,-19.8,-174.35,77.05,77,8,15.84
97,Bethel,US,2021-07-20 17:02:28,41.3712,-73.414,85.78,74,0,1.99
98,Sao Gabriel Da Cachoeira,BR,2021-07-20 17:02:28,-0.1303,-67.0892,77.76,88,95,3.96
99,Hervey Bay,AU,2021-07-20 17:02:29,-25.2986,152.8535,52.02,61,9,12.64
100,Hithadhoo,MV,2021-07-20 17:02:29,-0.6,73.0833,81.23,78,97,10.65
101,Mount Gambier,AU,2021-07-20 17:02:30,-37.8333,140.7667,47.07,70,87,7.76
102,Bredasdorp,ZA,2021-07-20 17:02:30,-34.5322,20.0403,45.28,87,64,6.8
103,Mezen,RU,2021-07-20 17:02:30,65.8522,44.24,52.86,94,100,2.75
104,Fuerte Olimpo,PY,2021-07-20 17:02:31,-21.0415,-57.8738,69.24,14,96,4.05
105,Bari,IT,2021-07-20 17:00:00,41.1177,16.8512,85.84,68,0,8.99
106,Kahului,US,2021-07-20 17:02:32,20.8947,-156.47,71.96,90,67,14.12
107,San Policarpo,PH,2021-07-20 17:02:32,12.1791,125.5072,81.01,77,100,9.08
108,Xining,CN,2021-07-20 17:02:33,36.6167,101.7667,61.09,63,44,2.3
109,Padang,ID,2021-07-20 17:02:33,-0.9492,100.3543,75.25,79,100,3.83
110,Bima,ID,2021-07-20 17:02:34,-8.4667,118.7167,71.96,94,91,4.18
111,Saint-Francois,FR,2021-07-20 17:02:34,46.4154,3.9054,83.64,41,0,8.05
112,Carnarvon,AU,2021-07-20 17:02:35,-24.8667,113.6333,70.66,87,61,14.79
